"Время срабатывания";"Сообщение";"Квитировано";"Время квитирования";"Пользователь";
"19.11.2021 19:44:27.124";"ГРС Волчиха. Кран на выходе.Время движения в имитации, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 19:44:27.115";"ГРС Волчиха. Кран на выходе.Время воздействия, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 19:44:27.105";"ГРС Волчиха. Входной кран.Время управления, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 19:44:27.099";"ГРС Волчиха. Входной кран.Время движения в имитации, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 19:44:27.090";"ГРС Волчиха. Входной кран.Время воздействия, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 19:44:27.081";"ГРС Волчиха. Охранный кран.Время управления, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 19:44:27.072";"ГРС Волчиха. Охранный кран.Время движения в имитации, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 19:44:27.062";"ГРС Волчиха. Охранный кран.Время воздействия, сек.Отправлена команда на изменение значения уставки с 0 на 0";"Нет";"";"";
"19.11.2021 15:43:17.043";"ГРС Волчиха. Температура газа на входе. Команда ТУ <<Установить имитацию>>  [Администратор - АРМ [astra]] ";"Нет";"";"";
"19.11.2021 15:03:58.596";"ГРС Волчиха. Давление газа на входе. Отказано в доступе. Недостаточно прав! [guest - АРМ [astra]] ";"Нет";"";"";
"19.11.2021 14:33:42.464";"ГРС Волчиха. Температура газа на входе. Отказано в доступе. Недостаточно прав! [guest - АРМ [astra]] ";"Нет";"";"";
"19.11.2021 10:24:09.287";"ГРС Волчиха. Давление газа на входе. Верхний предел измерения. Команда изменить значение с <<22>> на <<-1>> [Администратор - АРМ [astra]]";"Нет";"";"";
"19.11.2021 10:21:13.606";"ГРС Волчиха. Давление газа на входе. Верхний предел измерения. Команда изменить значение с <<22>> на <<77>> [Администратор - АРМ [astra]]";"Нет";"";"";
"17.11.2021 18:23:01.025";"ГРС Волчиха. Квитировать всё. [Администратор - АРМ [astra]] ";"Да";"17.11.2021 18:23:07.159";"Администратор";
"17.11.2021 18:22:54.769";"ГРС Волчиха. Кран сброса из фильтра 1Б. Команда ТУ <<Деблокировать>>  [Администратор - АРМ [astra]] ";"Да";"17.11.2021 18:23:01.028";"Администратор";
"17.11.2021 18:22:51.968";"ГРС Волчиха. Кран сброса из фильтра 1Б. Команда ТУ <<Открыть>>  [Администратор - АРМ [astra]] ";"Да";"17.11.2021 18:22:58.904";"Администратор";
"17.11.2021 18:22:49.287";"ГРС Волчиха. Кран сброса из фильтра 1Б. Команда ТУ <<Закрыть>>  [Администратор - АРМ [astra]] ";"Да";"17.11.2021 18:23:01.029";"Администратор";
"17.11.2021 18:22:09.519";"ГРС Волчиха. Кран сброса из фильтра 2Б. Отказано в доступе. Недостаточно прав! [guest - АРМ [astra]] ";"Да";"17.11.2021 18:23:01.029";"Администратор";
"17.11.2021 18:14:55.177";"ГРС Волчиха. Квитировать всё. [Администратор - АРМ [astra]] ";"Да";"17.11.2021 18:15:04.595";"Администратор";
"17.11.2021 18:14:50.042";"ГРС Волчиха. Давление газа на входе. Верхний предел измерения. Команда изменить значение с <<22>> на <<555>> [Администратор - АРМ [astra]]";"Да";"17.11.2021 18:14:55.178";"Администратор";
"17.11.2021 18:14:40.271";"ГРС Волчиха. Давление газа на входе. Команда ТУ <<Установить имитацию>>  [Администратор - АРМ [astra]] ";"Да";"17.11.2021 18:14:55.210";"Администратор";
"17.11.2021 18:14:14.254";"ГРС Волчиха. Перепад давления на фильтрах. Команда ТУ <<Установить имитацию>>  [Администратор - АРМ [astra]] ";"Да";"17.11.2021 18:14:55.210";"Администратор";
"17.11.2021 18:13:59.872";"ГРС Волчиха. Режим управления ГРС. Команда ТУ <<Уровень управления ГРС - ДИСТАНЦИОННЫЙ>>  [Администратор - АРМ [astra]] ";"Да";"17.11.2021 18:14:04.777";"Администратор";
"17.11.2021 18:05:09.786";"ГРС Волчиха. Давление газа на входе. Отказано в доступе. Недостаточно прав! [guest - АРМ [astra]] ";"Нет";"";"";
"17.11.2021 17:59:52.310";"ГРС Волчиха. Давление газа на входе. Значение верхнего аварийного предела. Команда изменить значение с <<>> на <<7,89>> [Администратор - АРМ [astra]]";"Нет";"";"";
"17.11.2021 17:59:10.490";"ГРС Волчиха. Давление газа на входе. Значение верхнего аварийного предела. Команда изменить значение с <<>> на <<12>> [Администратор - АРМ [astra]]";"Нет";"";"";
"17.11.2021 17:17:38.546";"ГРС Волчиха. Температура газа после ПГА. Верхний предел измерения. Команда изменить значение с <<>> на <<32,44>> [Администратор - АРМ [astra]]";"Нет";"";"";
"17.11.2021 17:17:16.218";"ГРС Волчиха. Температура газа после ПГА. Верхний предел измерения. Команда изменить значение с <<>> на <<8,8>> [Администратор - АРМ [astra]]";"Нет";"";"";
